+-----+-------------------------------------------------+-----+-------+-------------------------------------------+---------------------+----------+
|  No |                   Mata Kuliah                   | SKS | Kelas |                   Dosen                   |        Waktu        | Ruangan  |
| 121 |                                                 |  3  |   K   |          Mushlihudin, S.T., M.T.          |   RAB7, RAB8, RAB9  | 4.1.5.56 |
| 122 | Praktikum Komunikasi Data dan Jaringan Komputer |  1  |   A   |         Taufiq Ismail, S.T., M.Cs.        |         SEL8        | 4.1.5.64 |
| 123 |                                                 |  1  |   B   |          Mushlihudin, S.T., M.T.          |         RAB3        | 4.1.5.56 |
| 124 |                                                 |  1  |   C   |          Mushlihudin, S.T., M.T.          |         SEL6        | 4.1.5.62 |
| 125 |                                                 |  1  |   D   |          Mushlihudin, S.T., M.T.          |         SAB4        | 4.1.5.58 |
| 126 |                                                 |  1  |   E   |         Taufiq Ismail, S.T., M.Cs.        |         SEN9        | 4.1.5.57 |
| 127 |                                                 |  1  |   F   |          Nuril Anwar, S.T., M.Kom         |         SEL9        | 4.1.5.59 |
| 128 |                                                 |  1  |   G   |          Nuril Anwar, S.T., M.Kom         |         JUM8        | 4.1.5.63 |
| 129 |                                                 |  1  |   H   |          Nuril Anwar, S.T., M.Kom         |         SAB6        | 4.1.5.65 |
| 130 |                                                 |  1  |   I   |   Guntur Maulana Zamroni, B.Sc., M.Kom.   |        JUM10        | 4.1.5.65 |
| 131 |                                                 |  1  |   J   |   Guntur Maulana Zamroni, B.Sc., M.Kom.   |         KAM2        | 4.1.5.55 |
| 132 |                                                 |  1  |   K   |   Guntur Maulana Zamroni, B.Sc., M.Kom.   |         SEL4        | 4.1.5.62 |
| 133 |                Strategi Algoritma               |  3  |   A   |        Dwi Normawati, S.T., M.Eng.        |      SEN2, SEN3     | 4.1.5.58 |
| 134 |                                                 |  3  |   B   |          Drs., Tedy Setiadi, M.T.         |      SEL4, SEL5     | 4.1.5.57 |
| 135 |                                                 |  3  |   C   |        Dwi Normawati, S.T., M.Eng.        |      SAB7, SAB8     | 4.1.5.62 |
| 136 |                                                 |  3  |   D   |        Dwi Normawati, S.T., M.Eng.        |      RAB7, RAB8     | 4.1.5.64 |
| 137 |                                                 |  3  |   E   |         Ir., Ardi Pujiyanta, M.T.         |      RAB3, RAB4     | 4.1.5.62 |
